iter
0
1
2
3	4500	108002
4
5
6
7
8
9	9756	87804
10
11
12
13
14
15	19556	102673
16
17
18
19
20
21
22
23	27068	85717
24
25
26
27
28
29
30	32244	71769
31
32
33
34
35
36
37	36517	59581
38
39
40
41
42
43
44
45
46	41938	47292
47
48
49
50
51
52
53
54	46667	38182
55
56
57
58
59
60
61
62
63	52113	29313
64
65
66
67
68
69
70
71
72	58556	21657
73
74
75
76
77
78	62549	16627
79
80
81
82
83
84
85	68442	11141
86
87	70263	9581
88
89
90
91
92
93	76443	4879
94
95
96
97
98
99	81010	0
